id,name,externalid,,,,
2016,Fétigny,,,,217,Buttikon
2022,Gletterens,,,,218,Buttisholz
2025,Lully ,,,,219,Buus
2027,Ménières,,,,220,Bächli
2029,Montagny ,,,,221,Bärau
2035,Nuvilly,,,,222,Bätterkinden
2038,Prévondavaux,,,,223,Böbikon
2041,Saint-Aubin ,,,,224,Bösingen
2043,Sévaz,,,,225,Büchslen
2045,Vallon,,,,226,Büetigen
2050,Les Montets,,,,227,Bühler
2051,Delley-Portalban,,,,228,Bülach
2053,Belmont-Broye,,,,229,Bürchen
2054,Estavayer,,,,230,Büren
2055,Cheyres-Châbles,,,,231,Bürg Neuhaus
2061,Auboranges,,,,232,Bürglen
2063,Billens-Hennens,,,,233,Büriswilen
2066,Chapelle (Glâne),,,,234,Bütschwil
2067,Le Châtelard,,,,235,Bützberg
2068,Châtonnaye,,,,236,CHigny
2072,Ecublens ,,,,237,Cademario
2079,Grangettes,,,,238,Camorino
2086,Massonnens,,,,239,Capriasca
2087,Mézières ,,,,240,Carabietta
2089,Montet (Glâne),,,,241,Carouge
2096,Romont ,,,,242,Carrouges
2097,Rue,,,,243,Castagnola
2099,Siviriez,,,,244,Cazis
21,Adlikon,,,,245,Celerina
2102,Ursy,,,,246,Cerniat
211,Altikon,,,,247,Chailly
2117,Villaz,,,,248,Chailly-Montreux
2113,Vuisternens-devant-Romont,,,,249,Cham
2114,Villorsonnens,,,,250,Chamoson
2115,Torny,,,,251,Champlan
2121,Haut-Intyamon,,,,252,Champvent
2122,Pont-en-Ogoz,,,,253,Chapelle-sur-Moudon
2123,Botterens,,,,254,Chardonne
2124,Broc,,,,255,Charmey
2125,Bulle,,,,256,Charrat
2128,Châtel-sur-Montsalvens,,,,257,Chateau de Ste Croix
2129,Corbières,,,,258,Chatel-st-Denis
213,Brütten,,,,259,Chaumont
2130,Crésuz,,,,260,Chavannes de Bogis
2131,Echarlens,,,,261,Chavannes-le-Veyron
2134,Grandvillard,,,,262,Chavornay
2135,Gruyères,,,,263,Chermignon
2137,Hauteville,,,,264,Cheseaux
2138,Jaun,,,,265,Chevenez
214,Dägerlen,,,,266,Chexbres
2140,Marsens,,,,267,Chez-le-bart
2143,Morlon,,,,268,Chur
2145,Le Pâquier ,,,,269,Château-d'Oex
2147,Pont-la-Ville,,,,270,Châtel-s-Monts.
2148,Riaz,,,,271,Chénens
2149,La Roche,,,,272,Clarens
215,Dättlikon,,,,273,Coeuve
2152,Sâles,,,,274,Coffrane
2153,Sorens,,,,275,Collombey
2155,Vaulruz,,,,276,Collonges
216,Dinhard,,,,277,Colombier
2160,Vuadens,,,,278,Comano
2162,Bas-Intyamon,,,,279,Commugny
2163,Val-de-Charmey,,,,280,Conthey
2173,Autigny,,,,281,Contra
2174,Avry,,,,282,Coppet
2175,Belfaux,,,,283,Corbierres
2177,Chénens,,,,284,Corcelles
218,Ellikon an der Thur,,,,285,Corcelles sur Chavornay
2183,Corminboeuf,,,,286,Corcelles-près-Payerne
2186,Cottens ,,,,287,Corgénont
219,Elsau,,,,288,Cormerod
2194,Ferpicloz,,,,289,Corminboeuf
2196,Fribourg,,,,290,Cormoret
2197,Givisiez,,,,291,Corseaux
2198,Granges-Paccot,,,,292,Corsier-sur-Vevey
22,Benken (ZH),,,,293,Corsier/Vevey
220,Hagenbuch,,,,294,Corzoneso Piano
2200,Grolley,,,,295,Cottens
2206,Marly,,,,296,Courgenay
2208,Matran,,,,297,Courgevaux
221,Hettlingen,,,,298,Courrendlin
2211,Neyruz ,,,,299,Courtaman
2216,Pierrafortscha,,,,300,Courtedoux
2217,Ponthaux,,,,301,Courtelary
2220,Le Mouret,,,,302,Courtételle
2237,Prez,,,,303,Cousset
2226,Treyvaux,,,,304,Couvet
2228,Villars-sur-Glâne,,,,305,Covrroux
223,Neftenbach,,,,306,Crana
2230,Villarsel-sur-Marly,,,,307,Crans
2233,Hauterive ,,,,308,Crassier
2234,La Brillaz,,,,309,Cremin
2235,La Sonnaz,,,,310,Cressier
2236,Gibloux,,,,311,Crissier
224,Pfungen,,,,312,Cuarnens
225,Rickenbach (ZH),,,,313,Cudrefin
2250,Courgevaux,,,,314,Cugnasco
2254,Courtepin,,,,315,Cugy
2257,Cressier ,,,,316,Curaglia
2258,Fräschels,,,,317,Cureglia
2259,Galmiz,,,,318,Curtilles
226,Schlatt (ZH),,,,319,Dachsen
2260,Gempenach,,,,320,Dagmersellen
2261,Greng,,,,321,Daillens
2262,Gurmels,,,,322,Daillon
2265,Kerzers,,,,323,Dalpe
2266,Kleinbösingen,,,,324,Dardin
227,Seuzach,,,,325,Davesco Soragno
2271,Meyriez,,,,326,Davos Dorf
2272,Misery-Courtion,,,,327,Davos Platz
2274,Muntelier,,,,328,Degen
2275,Murten,,,,329,Degersheim
2276,Ried bei Kerzers,,,,330,Deitingen
2278,Ulmiz,,,,331,Delémont
228,Turbenthal,,,,332,Denges
2284,Mont-Vully,,,,333,Denneloye
2292,Brünisried,,,,334,Derendingen
2293,Düdingen,,,,335,Dettighofen
2294,Giffers,,,,336,Diegten
2295,Bösingen,,,,337,Diepoldsau
2296,Heitenried,,,,338,Dierikon
2299,Plaffeien,,,,339,Diessbach
23,Berg am Irchel,,,,340,Dietfurt
230,Winterthur,,,,341,Dietikon
2300,Plasselb,,,,342,Dietlikon
2301,Rechthalten,,,,343,Dinhard
2303,St. Silvester,,,,344,Dino
2304,St. Ursen,,,,345,Disentis
2305,Schmitten ,,,,346,Disentis/Mustér
2307,Tentlingen,,,,347,Domat / Ems
2308,Ueberstorf,,,,348,Domat/Ems
2309,Wünnewil-Flamatt,,,,349,Domdidier
231,Zell (ZH),,,,350,Dompierre
2321,Attalens,,,,351,Donat
2323,Bossonnens,,,,352,Dornach
2325,Châtel-Saint-Denis,,,,353,Dotzigen
2328,Granges (Veveyse),,,,354,Dreien
2333,Remaufens,,,,355,Dreifachturnhalle Maihof
2335,Saint-Martin ,,,,356,Drône Savièse
2336,Semsales,,,,357,Duillier
2337,Le Flon,,,,358,Dussnang
2338,La Verrerie,,,,359,Dällikon
2391,Staatswald Galm,,,,360,Därstetten
24,Buch am Irchel,,,,361,Dättlikon
2401,Egerkingen,,,,362,Dätwil
2402,Härkingen,,,,363,Dörflingen
2403,Kestenholz,,,,364,Döttingen
2404,Neuendorf,,,,365,Dübendorf
2405,Niederbuchsiten,,,,366,Düdingen
2406,Oberbuchsiten,,,,367,Dürnten
2407,Oensingen,,,,368,Dürrenroth
2408,Wolfwil,,,,369,Ebersecken
241,Aesch (ZH),,,,370,Ebikon
242,Birmensdorf (ZH),,,,371,Ebnat-Kappel
2421,Aedermannsdorf,,,,372,Ebnet
2422,Balsthal,,,,373,Echallens
2424,Herbetswil,,,,374,Echandens
2425,Holderbank ,,,,375,Echandes
2426,Laupersdorf,,,,376,Eclepens
2427,Matzendorf,,,,377,Eclépens
2428,Mümliswil-Ramiswil,,,,378,Ecublens
243,Dietikon,,,,379,Effetikon
244,Geroldswil,,,,380,Effretikon
2445,Biezwil,,,,381,Egg
245,Oberengstringen,,,,382,Egg b. Einsiedeln
2455,Lüterkofen-Ichertswil,,,,383,Eggenwil
2456,Lüterswil-Gächliwil,,,,384,Eggersriet
2457,Messen,,,,385,Eggiwil
246,Oetwil an der Limmat,,,,386,Eglisau
2461,Schnottwil,,,,387,Egliswil
2463,Unterramsern,,,,388,Egnach
2464,Lüsslingen-Nennigkofen,,,,389,Eiken
2465,Buchegg,,,,390,Einigen
247,Schlieren,,,,391,Einsiedeln
2471,Bättwil,,,,392,Eischoll
2472,Büren ,,,,393,Ellighausen
2473,Dornach,,,,394,Elsau
2474,Gempen,,,,395,Embrach
2475,Hochwald,,,,396,Emmen
2476,Hofstetten-Flüh,,,,397,Emmenbrücke
2477,Metzerlen-Mariastein,,,,398,Engelberg
2478,Nuglar-St. Pantaleon,,,,399,Engelburg
2479,Rodersdorf,,,,400,Engi
248,Uitikon,,,,401,Engishofen
2480,Seewen,,,,402,Engwang
2481,Witterswil,,,,403,Engwilen
249,Unterengstringen,,,,404,Ennenda
2491,Hauenstein-Ifenthal,,,,405,Ennetmoos
2492,Kienberg,,,,406,Entlebuch
2493,Lostorf,,,,407,Epalinges
2495,Niedergösgen,,,,408,Ependes
2497,Obergösgen,,,,409,Erlach
25,Dachsen,,,,410,Erlen
250,Urdorf,,,,411,Erlenbach
2500,Trimbach,,,,412,Erlinsbach
2501,Winznau,,,,413,Ermatingen
2502,Wisen ,,,,414,Ermensee
2503,Erlinsbach ,,,,415,Ernetschwil
251,Weiningen (ZH),,,,416,Ersigen
2511,Aeschi ,,,,417,Erstfeld
2513,Biberist,,,,418,Eschenbach
2514,Bolken,,,,419,Eschenz
2516,Deitingen,,,,420,Eschlikon
2517,Derendingen,,,,421,Escholzmatt
2518,Etziken,,,,422,Esmonts
